"Account name","Campaign name",Day,Currency,"Amount spent (USD)",Leads,"Link clicks","Messaging conversations started","Reporting starts","Reporting ends"
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-28,USD,14.15,2,39,,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-28,USD,50.27,,9,7,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-28,USD,6.7,,7,3,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-28,USD,9.54,6,27,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-28,USD,5.09,,60,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-28,USD,9.07,2,21,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-28,USD,17.14,,26,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-28,USD,19.22,5,41,1,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-27,USD,14.01,,24,2,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-27,USD,50.28,,11,3,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-27,USD,6.66,,1,2,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-27,USD,9.61,6,18,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-27,USD,4.95,,56,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-27,USD,9.34,2,9,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-27,USD,17.33,6,27,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-27,USD,19.17,2,40,,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-26,USD,14.61,,18,2,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-26,USD,52.88,,6,4,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-26,USD,7.06,,2,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-26,USD,9.92,4,23,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-26,USD,5.01,,51,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-26,USD,10.39,2,16,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-26,USD,17.72,4,43,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-26,USD,20.08,4,34,,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-25,USD,14.69,6,27,,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-25,USD,54.99,2,6,7,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-25,USD,6.9,,2,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-25,USD,10.09,2,19,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-25,USD,5.02,,56,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-25,USD,9.93,2,17,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-25,USD,18.13,6,26,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-25,USD,20.09,,48,1,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-24,USD,15.33,,31,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-24,USD,55.89,5,11,7,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-24,USD,7.27,2,1,2,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-24,USD,10.11,2,18,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-24,USD,5.04,,54,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-24,USD,10.15,,16,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-24,USD,18.74,2,27,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-24,USD,20.55,6,48,,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-23,USD,16.06,4,33,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-23,USD,55.62,,10,9,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-23,USD,7.56,,4,5,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-23,USD,10.61,2,31,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-23,USD,5.13,,57,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-23,USD,10.84,3,13,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-23,USD,19.03,3,46,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-23,USD,21,7,40,,2024-09-22,2024-09-28
"2.0 HairCheck 2024","NL / Lead  / CBO / Kyiv Odesa / 26.07.2024",2024-09-22,USD,16.15,3,35,,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement / COLD - 22.05.2024",2024-09-22,USD,51.02,,6,8,2024-09-22,2024-09-28
"HairCheck NEW 2024","INST / Engagement Messages / WARM - 20.05.2024",2024-09-22,USD,6.85,,1,1,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Fb Lead Form / Ugly hair / Lookalike (UA, 1%) - LTV ALL/ 26/08/2024  Campaign",2024-09-22,USD,10.12,2,19,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / TRAFF / Inst / 24.07.2024",2024-09-22,USD,4.73,,45,,2024-09-22,2024-09-28
"HairCheck NEW 2024","NL / Tailored leads campaign / Lookalike (UA, 1%) - LTV ALL/ 15/07/2024 Campaign",2024-09-22,USD,10.27,1,13,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / Cold / ABO / Lead / 29.05.2024",2024-09-22,USD,17.9,4,30,,2024-09-22,2024-09-28
"HairCheck NEW 2024","SITE / NLAS / Warm / ABO / 12.02.2024",2024-09-22,USD,19.89,3,41,1,2024-09-22,2024-09-28
